,Target,Residues,Type,Domains,Residues in domain,Classification,PDB
1,T0859,133,All groups,T0859-D1: 4-132,129,FM,5jzr
2,T0860,137,Server only,T0860-D1: 1-136,136,TBM,5fjl
3,T0861,323,Server only,T0861-D1: 2-313,312,TBM,5j5v
4,T0862,239,All groups,T0862-D1: 139-239,101,FM,5j5v
6,T0863,670,All groups,,,FM,5sy1
7,T0864,246,All groups,T0864-D1: 1-246,246,FM,5d9g
8,T0865,75,Server only,T0865-D1: 11-72,62,TBM,2n64
9,T0866,152,All groups,T0866-D1: 38-141,104,FM,5uw2
10,T0867,104,Server only,T0867-D1: 1-104,104,TBM,-
11,T0868,161,All groups,T0868-D1: 46-161,116,FM/TBM,5j4a
12,T0869,120,All groups,T0869-D1: 3-106,104,FM,5j4a
13,T0870,138,All groups,T0870-D1: 2-124,123,FM,5j5v
14,T0871,375,Server only,"T0871-D1: 33-143,160-305,313-374",319,TBM,-
15,T0872,91,All groups,T0872-D1: 1-88,88,TBM,5jmb
16,T0873,501,Server only,"T0873-D1: 16-281,306-501",462,TBM,6da6
17,T0874,129,All groups,"T0874-D1: 12-64,70-103,106-129",111,FM/TBM,-
18,T0875,122,All groups,"T0875-D1: 1-68,75-122",116,FM/TBM,-
19,T0876,136,All groups,T0876-D1: 5-124,120,FM/TBM,-
20,T0877,142,Server only,T0877-D1: 1-142,142,TBM,5nsj
21,T0878,358,All groups,T0878-D1: 10-356,347,FM,5unb
22,T0879,223,Server only,T0879-D1: 4-223,220,TBM,5jmu
24,T0880,193,All groups,,,FM,-
25,T0881,202,Server only,T0881-D1: 1-202,202,TBM,-
26,T0882,89,All groups,T0882-D1: 5-83,79,TBM,5g3q
27,T0883,237,Server only,T0883-D1: 15-231,217,TBM,-
28,T0884,75,Server only,T0884-D1: 2-72,71,FM/TBM,5t87
29,T0885,116,Server only,T0885-D1: 2-115,114,TBM,5t87
31,T0886,346,All groups,,,FM,5fhy
32,T0887,178,All groups,T0887-D1: 16-176,161,FM/TBM,6f03
33,T0888,121,All groups,T0888-D1: 1-121,121,FM,-
34,T0889,242,Server only,T0889-D1: 4-242,239,TBM,5jo9
36,T0890,191,All groups,,,FM/TBM,-
37,T0891,130,Server only,"T0891-D1: 12-64,72-130",112,TBM,4ymp
39,T0892,193,All groups,,,FM/TBM,5nv4
41,T0893,242,Server only,,,TBM,5idj
42,T0894,324,All groups,,,FM/TBM,5hkq
44,T0895,129,All groups,T0895-D1: 1-120,120,TBM,5hkq
47,T0896,486,All groups,,,FM/TBM,-
48,T0897,285,All groups,,,FM,-
50,T0898,169,All groups,,,FM/TBM,-
53,T0899,423,All groups,,,FM,-
54,T0900,106,All groups,T0900-D1: 5-106,102,FM,5aot
56,T0901,328,All groups,,,FM/TBM,-
57,T0902,315,Server only,"T0902-D1: 26-49,72-188,214-303",231,TBM,3jb5
58,T0903,382,Server only,"T0903-D1: 15-155,168-350",324,TBM,5a7d
59,T0904,341,All groups,T0904-D1: 61-311,251,FM,5a7d
60,T0905,353,All groups,,,FM,-
62,T0906,363,Server only,"T0906-D1: 2-34,39-224,234-264,268-284,288-353",333,TBM,-
65,T0907,315,All groups,,,FM/TBM,-
66,T0909,340,All groups,"T0909-D1: 1-125,133-340",333,FM/TBM,5g5n
67,T0910,345,Server only,T0910-D1: 29-345,317,TBM,-
68,T0911,445,All groups,T0911-D1: 27-443,417,TBM,6e9n
70,T0912,624,All groups,,,FM/TBM,5mqp
72,T0913,386,All groups,T0913-D1: 49-386,338,TBM,-
73,T0914,337,All groups,,,FM,6cp8
75,T0915,161,All groups,T0915-D1: 6-159,154,FM,6cp8
76,T0917,409,Server only,T0917-D1: 19-409,391,TBM,-
77,T0918,546,All groups,,,FM,5uvn
80,T0920,568,Server only,,,TBM,5ere
82,T0921,149,Server only,T0921-D1: 5-142,138,TBM,5aoz
83,T0922,96,Server only,T0922-D1: 23-96,74,TBM,5m2o
84,T0923,409,All groups,"T0923-D1: 44-91,95-136,158-263,320-409",286,FM,-
85,T0928,417,Server only,"T0928-D1: 6-98,137-386",343,TBM,5tf2
86,T0941,470,All groups,"T0941-D1: 124-242,247-468",341,FM,-
87,T0942,487,All groups,,,TBM,5xi8
89,T0943,563,Server only,,,FM/TBM,5kkp
91,T0944,277,All groups,"T0944-D1: 2-147,165-271",253,TBM,5ko9
92,T0945,409,All groups,T0945-D1: 9-404,396,FM/TBM,5lev
93,T0946,292,All groups,,,FM/TBM,-
95,T0947,220,All groups,T0947-D1: 42-216,175,TBM,-
96,T0948,166,All groups,"T0948-D1: 1-125,138-161",149,TBM,5tj4
