,Proposed,GDT_TS,target,ProQ3D,ProQ3,ProQ2,ProQ2D,VoroMQA,SBROD,Sato-3DCNN
T0765TS156_1,0.27271610498428345,56.91,T0765,0.30096,0.287737,0.305396,0.325579,0.300505,1.30669195604,0.2028902769088745
T0765TS335_3,0.1883563846349716,33.22,T0765,0.366527,0.290345,0.286956,0.30091100000000004,0.258562,1.27222331824,0.09310460835695268
T0765TS420_1,0.3669075965881348,71.38,T0765,0.325351,0.28317600000000004,0.270335,0.289893,0.214592,1.23748437077,0.21881996095180511
T0765TS452_5,0.13402841985225675,33.88,T0765,0.316271,0.28217,0.276952,0.283806,0.250103,1.28225625764,0.14741218090057373
T0765TS277_4,0.25621190667152405,46.05,T0765,0.499504,0.507872,0.488793,0.46622,0.349555,1.30978807073,0.129728302359581
T0765TS216_3,0.2339851856231689,64.8,T0765,0.414087,0.291218,0.224229,0.335093,0.201687,1.3475342592100001,0.162316232919693
T0765TS436_3,0.058788284659385674,50.33,T0765,0.303629,0.210903,0.195363,0.265124,0.16858800000000002,1.22485182308,0.10648130625486374
T0765TS345_4,0.35348498821258545,52.3,T0765,0.340204,0.414992,0.459383,0.42285,0.348389,1.34423999139,0.2644661366939545
T0765TS171_2,0.09292629361152648,33.22,T0765,0.228946,0.19452,0.227608,0.222562,0.192866,1.23059454877,0.079409159719944
T0765TS492_1,0.16782543063163755,57.9,T0765,0.284878,0.18744,0.179335,0.230547,0.191173,1.22641182845,0.27903425693511963
T0765TS237_5,0.11102445423603058,47.37000000000001,T0765,0.227021,0.15268199999999998,0.114936,0.212635,0.150357,1.21491458994,0.06026271358132361
T0765TS184_2,0.5085423588752747,79.28,T0765,0.473297,0.5817060000000001,0.397082,0.377502,0.326914,1.3328116245000001,0.4397276937961577
T0765TS041_3,0.36287301778793335,57.57,T0765,0.426661,0.497158,0.4699350000000001,0.424124,0.305736,1.3486503864300001,0.2749812602996826
T0765TS022_3,0.3112970292568207,61.84,T0765,0.315089,0.17736500000000002,0.12718,0.246446,0.285293,1.2954926576999999,0.2964516878128052
T0765TS492_2,0.15188036859035492,54.93,T0765,0.32705500000000004,0.205819,0.17652,0.267342,0.180147,1.26646258999,0.21655501425266266
T0765TS420_3,0.3692111372947693,70.07,T0765,0.32615700000000003,0.238102,0.17415799999999998,0.247918,0.206828,1.27216119838,0.2446984052658081
T0765TS268_2,0.3155281841754913,49.01,T0765,0.415723,0.483008,0.490792,0.397576,0.385355,1.31543567129,0.2141120433807373
T0765TS022_5,0.34244439005851746,62.17,T0765,0.30817,0.157299,0.121551,0.251852,0.27115500000000003,1.31351122112,0.33464059233665466
T0765TS345_2,0.31339460611343384,47.04,T0765,0.342143,0.435241,0.443088,0.453189,0.302781,1.3336843179,0.2010103017091751
T0765TS410_1,0.2416127920150757,44.41,T0765,0.371907,0.363459,0.348596,0.331857,0.312965,1.30989953998,0.20548246800899506
T0765TS277_2,0.4846226572990418,78.29,T0765,0.562716,0.616563,0.569863,0.527992,0.417351,1.41559392625,0.4200673699378967
T0765TS436_5,0.0589500218629837,50.33,T0765,0.28170700000000004,0.202366,0.187688,0.26415500000000003,0.166681,1.23400766603,0.1272381991147995
T0765TS335_1,0.1413010209798813,33.550000000000004,T0765,0.362271,0.281171,0.291844,0.31498200000000004,0.235317,1.30190648794,0.11975216120481492
T0765TS212_1,0.3206365704536438,62.17,T0765,0.28172800000000003,0.19139,0.166044,0.262071,0.226147,1.28461479733,0.2527521252632141
T0765TS381_3,0.1361381858587265,33.550000000000004,T0765,0.351037,0.30399,0.322162,0.320565,0.240362,1.27908985378,0.1618327647447586
T0765TS263_3,0.13867798447608948,43.42,T0765,0.360628,0.382838,0.378114,0.323428,0.347819,1.30764694004,0.2384780794382096
T0765TS050_1,0.4150431156158447,66.45,T0765,0.378481,0.377299,0.308408,0.295171,0.331358,1.31279135487,0.3364579379558563
T0765TS479_4,0.3888302743434906,49.34000000000001,T0765,0.446262,0.5897140000000001,0.575124,0.532403,0.442133,1.34175663328,0.16425104439258575
T0765TS436_1,0.2732103168964386,56.91,T0765,0.338185,0.293225,0.27928000000000003,0.274973,0.205501,1.25583063369,0.2015291154384613
T0765TS184_4,0.24741943180561066,37.83000000000001,T0765,0.469347,0.498151,0.40168,0.363109,0.346118,1.2856624862200001,0.29406270384788513
T0765TS041_1,0.3757497072219849,67.76,T0765,0.441993,0.42026,0.422536,0.451916,0.327463,1.3500262586000005,0.2827269434928894
