,Proposed,GDT_TS,target,ProQ3D,ProQ2D,ProQ3,ProQ2,VoroMQA,SBROD,Sato-3DCNN
T0962TS110_3,0.6314378380775452,65.82,T0962,0.4399020000000001,0.445174,0.382111,0.399063,0.270331,1.32625720832,0.3131581246852875
T0962TS023_4,0.4543873071670532,44.91,T0962,0.432662,0.394345,0.355162,0.394776,0.26818600000000004,1.29332616119,0.2807915508747101
T0962TS266_1,0.4437142908573151,43.78,T0962,0.459483,0.40869,0.376589,0.374112,0.310842,1.27215622423,0.3226621747016907
T0962TS007_2,0.7177191972732544,74.15,T0962,0.5713739999999999,0.54987,0.470276,0.517441,0.387223,1.3821751367,0.628882110118866
T0962TS116_5,0.7636557221412659,75.28,T0962,0.596087,0.587933,0.468442,0.539592,0.338858,1.40426419293,0.5339933037757874
T0962TS116_1,0.7103369832038879,74.15,T0962,0.5423,0.498151,0.425112,0.491641,0.340147,1.33461600587,0.487550675868988
T0962TS337_4,0.6188637614250183,50.14,T0962,0.499356,0.434864,0.467715,0.44847,0.287691,1.26601763235,0.34320348501205444
T0962TS368_3,0.8011297583580017,75.56,T0962,0.652373,0.627156,0.643582,0.6052529999999999,0.419127,1.38075394655,0.7084880471229553
T0962TS266_2,0.4175646007061005,42.51,T0962,0.456313,0.392549,0.383694,0.387195,0.280885,1.25684890037,0.24355463683605194
T0962TS243_4,0.7461001873016357,75.42,T0962,0.5932810000000001,0.533756,0.487199,0.521237,0.385445,1.37756549693,0.6113231182098389
T0962TS337_3,0.6079531311988831,50.56,T0962,0.530378,0.42822,0.451336,0.419492,0.30618,1.21473473755,0.3894723653793335
T0962TS221_1,0.8214420676231384,77.83,T0962,0.548588,0.609614,0.57072,0.608612,0.400174,1.37996413287,0.6564107537269592
T0962TS266_3,0.4448891282081604,42.23,T0962,0.436055,0.388987,0.35064,0.373878,0.280593,1.2700535789899998,0.2847031056880951
T0962TS348_2,0.02192073315382004,26.7,T0962,0.129299,0.148743,-0.0903959,-0.0189623,0.0736513,1.1379601141700002,0.007497339509427547
T0962TS164_2,0.7571641206741333,76.84,T0962,0.587407,0.5655,0.492177,0.558616,0.370315,1.33805568522,0.5725844502449036
T0962TS246_4,0.7976664304733276,81.64,T0962,0.608329,0.59264,0.549606,0.579372,0.37603,1.39858452615,0.6005638837814331
T0962TS368_1,0.8480217456817627,78.25,T0962,0.671186,0.624566,0.6528619999999999,0.617477,0.430649,1.39059670878,0.6898580193519592
T0962TS497_1,0.2805449664592743,32.49,T0962,0.415607,0.37561,0.373809,0.378873,0.188744,1.3395763353299999,0.1283733993768692
T0962TS261_4,0.7463513612747192,74.86,T0962,0.587213,0.593543,0.551874,0.5915229999999999,0.369073,1.40420101376,0.607859194278717
T0962TS488_1,0.7213360071182251,71.47,T0962,0.595788,0.6278729999999999,0.590168,0.589313,0.404877,1.3598311121899995,0.6240553259849548
T0962TS058_2,0.7699202895164491,73.31,T0962,0.6161909999999999,0.595205,0.51869,0.581823,0.373385,1.3847125033599998,0.5472019314765929
T0962TS124_1,0.7650107145309448,69.77,T0962,0.583987,0.633333,0.505831,0.612559,0.382823,1.3841169929100001,0.5449452400207521
T0962TS497_3,0.2711776793003082,35.45,T0962,0.408598,0.339571,0.355596,0.336845,0.16226500000000002,1.31512724373,0.1084861233830452
T0962TS156_2,0.7888459563255309,76.98,T0962,0.557765,0.608953,0.558384,0.5782579999999999,0.397369,1.3706871160699998,0.646722137928009
T0962TS243_3,0.7619573473930359,75.71,T0962,0.587554,0.5495800000000001,0.493345,0.540932,0.390656,1.3759204485799998,0.5970935225486755
