,pearson,spearman,loss,zscore,pearson_p,spearman_p,loss_p,zscore_p,dataset
Proposed,0.7969983471636592,0.7574553803235662,5.707878787878786,1.2636924586278944,,,,,CASP13
ProQ3D,0.6857544013219545,0.6383677205084108,9.482121212121212,0.9902741323284333,1.4243180845330617e-09,2.0262921158774736e-10,0.021629032361820177,0.02292181189617351,CASP13
ProQ2D,0.7081952660272264,0.6647767369235361,8.766363636363637,1.0004936117081842,7.110884490369636e-08,1.6626984862043836e-08,0.012130885109587923,0.009487949749688787,CASP13
ProQ3,0.6323403593720094,0.5986651588063245,7.890909090909091,1.0505629087414379,1.226696086415765e-10,2.5173782170171138e-11,0.006343729829409838,0.007701981392395345,CASP13
ProQ2,0.6707940694737935,0.6341304243513962,10.700151515151516,0.8028396776447685,4.80987567510885e-10,5.965913155483942e-11,2.3248213636830955e-05,2.0783546885794348e-05,CASP13
VoroMQA,0.675928369754923,0.62364320148293,12.105151515151514,0.7861032877497539,2.377457005128619e-09,2.5173782170171138e-11,0.0017268149354898515,0.0011504973851741297,CASP13
SBROD,0.6741612568169905,0.6368214483428668,10.01439393939394,0.9298489659270455,1.9537974122526385e-09,3.376314516904339e-09,0.00022931498771605572,0.0005993237046780333,CASP13
Sato-3DCNN,0.7478849198097133,0.7034513679002833,6.526666666666666,1.167021371146839,1.0915541883664344e-05,1.8421741382141295e-05,0.4438144228941354,0.39294333725662633,CASP13
Proposed,0.8558395304462655,0.7818871808227581,4.319019607843138,1.2403373915271632,,,,,CASP12
ProQ3D,0.7495947769909019,0.6720189498488813,7.988823529411765,0.9221865106639386,8.181189017872003e-09,3.411533138240256e-07,0.004818709017045311,0.00737631298146197,CASP12
ProQ3,0.686442475952807,0.618016333753901,5.292352941176471,1.13666311978435,1.1098491876272212e-09,1.2726693725124743e-08,0.410311900132763,0.41829092183768823,CASP12
ProQ2,0.693904247423186,0.6162818952983059,5.28,1.1295576404143135,3.943710397995901e-09,6.031531717037219e-08,0.28751758176228515,0.28073511825954933,CASP12
ProQ2D,0.7330034312637844,0.6571613848880313,6.3960784313725485,1.0168387088216992,1.0210883866755238e-08,1.0680050585595924e-07,0.011656105576353487,0.007227426087066307,CASP12
VoroMQA,0.6708625721247565,0.5923069080597801,7.64921568627451,0.9625085952667252,1.1098491876272212e-09,1.768408698752163e-09,0.04302422963361127,0.04302422963361127,CASP12
SBROD,0.6817336636685174,0.6123581185344295,7.0633333333333335,0.9670167191383486,9.86987564219973e-10,1.871708603766136e-07,0.03466030969349066,0.04229421644978221,CASP12
Sato-3DCNN,0.7464392943692735,0.6752284528135928,5.529607843137255,1.1388114435174423,4.673006480160376e-09,5.308734078689822e-07,0.4886806017769275,0.4994773408349763,CASP12
Proposed,0.7237713409515768,0.688132697470192,3.1160655737704945,1.2888064959550154,,,,,CASP11
ProQ3D,0.5264981529098739,0.495988683324273,6.132950819672131,0.8202971560157982,2.4260548659378017e-10,2.666236906022744e-09,0.0034543895792373642,0.008309147418326675,CASP11
ProQ3,0.4762605458716532,0.4583415607992996,5.258524590163936,1.0795248670032178,2.4489975045307974e-11,2.315623025415933e-10,0.03367254422732561,0.08435084314268626,CASP11
ProQ2,0.45962645674544567,0.4409554010412977,6.768688524590164,0.8829778794276979,9.024197976469389e-11,1.1443154727963905e-10,0.0016541462191554234,0.0035485201018091864,CASP11
ProQ2D,0.4806460671432014,0.45669982783046853,6.298196721311475,0.8589249151919834,1.3824858893704506e-10,2.315623025415933e-10,0.0011012764438653841,0.001261811161109622,CASP11
VoroMQA,0.4690036587375038,0.46583215433128017,6.82,0.8057021486777798,6.155288245645252e-11,2.210106400409404e-10,0.0018806826690028727,0.0031854723933106353,CASP11
SBROD,0.4490939505294246,0.43396322253272923,6.03,0.8731988684071065,1.833054064559891e-10,9.464112974365478e-11,0.008556487692034803,0.006840323584200774,CASP11
Sato-3DCNN,0.5997349438546443,0.5831839025146787,3.6616393442622956,1.2312818474645402,9.274494157942523e-08,1.4588930931719593e-05,0.19582490229199767,0.26869661608941153,CASP11
