,path,res_num,dir_name,tmscore,gdtts
39,casp9/T0522/native.npz,134,casp9/T0522,1.0,1.0
286,casp9/T0582/native.npz,221,casp9/T0582,1.0,1.0
345,casp8/T0455/native.npz,139,casp8/T0455,1.0,1.0
381,casp10/T0721/native.npz,299,casp10/T0721,1.0,1.0
824,casp8/T0393/native.npz,259,casp8/T0393,1.0,1.0
1115,casp7/T0357/native.npz,132,casp7/T0357,1.0,1.0
1152,casp7/T0299/native.npz,180,casp7/T0299,1.0,1.0
1238,casp7/T0380/native.npz,142,casp7/T0380,1.0,1.0
1262,casp7/T0312/native.npz,140,casp7/T0312,1.0,1.0
1841,casp7/T0328/native.npz,307,casp7/T0328,1.0,1.0
2447,casp9/T0617/native.npz,142,casp9/T0617,1.0,1.0
3215,casp7/T0342/native.npz,169,casp7/T0342,1.0,1.0
3229,casp7/T0314/native.npz,106,casp7/T0314,1.0,1.0
3449,casp7/T0384/native.npz,304,casp7/T0384,1.0,1.0
3465,casp10/T0644/native.npz,141,casp10/T0644,1.0,1.0
3904,casp10/T0753/native.npz,108,casp10/T0753,1.0,1.0
4516,casp8/T0419/native.npz,466,casp8/T0419,1.0,1.0
4656,casp9/T0528/native.npz,371,casp9/T0528,1.0,1.0
5290,casp7/T0326/native.npz,289,casp7/T0326,1.0,1.0
5954,casp9/T0553/native.npz,134,casp9/T0553,1.0,1.0
6327,casp8/T0481/native.npz,144,casp8/T0481,1.0,1.0
6834,casp9/T0530/native.npz,86,casp9/T0530,1.0,1.0
7397,casp10/T0701/native.npz,316,casp10/T0701,1.0,1.0
7546,casp9/T0600/native.npz,106,casp9/T0600,1.0,1.0
7577,casp8/T0457/native.npz,316,casp8/T0457,1.0,1.0
7843,casp9/T0523/native.npz,118,casp9/T0523,1.0,1.0
8303,casp9/T0576/native.npz,138,casp9/T0576,1.0,1.0
8384,casp8/T0445/native.npz,264,casp8/T0445,1.0,1.0
9042,casp10/T0729/native.npz,81,casp10/T0729,1.0,1.0
9800,casp9/T0517/native.npz,159,casp9/T0517,1.0,1.0
9958,casp8/T0495/native.npz,146,casp8/T0495,1.0,1.0
10148,casp10/T0679/native.npz,199,casp10/T0679,1.0,1.0
11228,casp9/T0527/native.npz,131,casp9/T0527,1.0,1.0
11715,casp10/T0687/native.npz,200,casp10/T0687,1.0,1.0
11802,casp7/T0368/native.npz,157,casp7/T0368,1.0,1.0
11907,casp7/T0311/native.npz,87,casp7/T0311,1.0,1.0
12156,casp8/T0492/native.npz,70,casp8/T0492,1.0,1.0
12474,casp9/T0606/native.npz,123,casp9/T0606,1.0,1.0
12826,casp8/T0489/native.npz,210,casp8/T0489,1.0,1.0
13001,casp8/T0473/native.npz,58,casp8/T0473,1.0,1.0
13957,casp7/T0308/native.npz,165,casp7/T0308,1.0,1.0
14006,casp10/T0675/native.npz,57,casp10/T0675,1.0,1.0
